term 489, 10000 pasos de N*N
temp	Mag	En
2.879998	0.091376	-0.868429
2.889998	0.097285	-0.863525
2.899998	0.096152	-0.862072
2.909998	0.094051	-0.854315
2.919998	0.092780	-0.850498
2.929998	0.092820	-0.845597
2.939998	0.089761	-0.840606
2.949998	0.090132	-0.837850
2.959998	0.085613	-0.832758
2.969998	0.085837	-0.830710
2.979998	0.086757	-0.824888
2.989998	0.085598	-0.822516
2.999998	0.083824	-0.818680
3.009998	0.086935	-0.812146
3.019998	0.084305	-0.808730
3.029998	0.082461	-0.806886
3.039998	0.081425	-0.800306
3.049998	0.081825	-0.797968
3.059998	0.081677	-0.796012
3.069998	0.081506	-0.790798
3.079998	0.078157	-0.785769
3.089998	0.081169	-0.784104
3.099998	0.080465	-0.779303
3.109998	0.076737	-0.777269
3.119998	0.079564	-0.773521
3.129997	0.077774	-0.767696
3.139997	0.077559	-0.765719
3.149997	0.074970	-0.762351
3.159997	0.073963	-0.759391
3.169997	0.074891	-0.753949
3.179997	0.073573	-0.751757
3.189997	0.071804	-0.748268
3.199997	0.074714	-0.745673
3.209997	0.073506	-0.741285
3.219997	0.070526	-0.737032
3.229997	0.070825	-0.733917
3.239997	0.073630	-0.732171
3.249997	0.072776	-0.729534
3.259997	0.071830	-0.726059
3.269997	0.070862	-0.724835
3.279997	0.069195	-0.719226
3.289997	0.067267	-0.719084
3.299997	0.068787	-0.714242
3.309997	0.068901	-0.713145
3.319997	0.068476	-0.706623
3.329997	0.067682	-0.704814
3.339997	0.067317	-0.701935
3.349997	0.068609	-0.700104
3.359997	0.065735	-0.697312
3.369997	0.070946	-0.695420
3.379997	0.066707	-0.692147
3.389997	0.064385	-0.687926
3.399997	0.066230	-0.686382
3.409997	0.064473	-0.684370
3.419997	0.063605	-0.680669
3.429997	0.063299	-0.677033
3.439997	0.066732	-0.675166
3.449997	0.061891	-0.672396
3.459997	0.061488	-0.670518
3.469997	0.061662	-0.666561
3.479997	0.062010	-0.666423
3.489997	0.060431	-0.662001
3.499997	0.063365	-0.660577
3.509997	0.063090	-0.657925
3.519997	0.061615	-0.655635
3.529997	0.062128	-0.652129
3.539997	0.064024	-0.651247
3.549997	0.061555	-0.647896
3.559997	0.061205	-0.645153
3.569997	0.059352	-0.642103
3.579997	0.059237	-0.640603
3.589997	0.058088	-0.639080
3.599997	0.059764	-0.636512
3.609997	0.059240	-0.633295
3.619997	0.057845	-0.630400
3.629997	0.057454	-0.629331
3.639997	0.056645	-0.628504
3.649997	0.057039	-0.625666
3.659997	0.057990	-0.622083
3.669997	0.058578	-0.621905
3.679997	0.056951	-0.617952
3.689997	0.056253	-0.615704
3.699997	0.055210	-0.615075
3.709997	0.058240	-0.611561
3.719997	0.057736	-0.609435
3.729997	0.056348	-0.608015
3.739997	0.056403	-0.605701
3.749997	0.056158	-0.604145
3.759997	0.056589	-0.602003
3.769997	0.055980	-0.599859
3.779997	0.054476	-0.598759
3.789997	0.055847	-0.594388
3.799997	0.054387	-0.594883
3.809997	0.054610	-0.591915
3.819997	0.055257	-0.588847
3.829997	0.055484	-0.588467
3.839997	0.054003	-0.586389
3.849997	0.053896	-0.583831
3.859997	0.054919	-0.582951
3.869997	0.051910	-0.579787
3.879997	0.053675	-0.579946
3.889997	0.052520	-0.575272
3.899997	0.052751	-0.575053
3.909997	0.052895	-0.573172
3.919997	0.054153	-0.571566
3.929997	0.053641	-0.570325
3.939997	0.052322	-0.567785
3.949997	0.051318	-0.564903
3.959997	0.052986	-0.564095
3.969997	0.052028	-0.563068
3.979997	0.051857	-0.560088
3.989997	0.051645	-0.557841
3.999997	0.051637	-0.555777
4.009997	0.052438	-0.555209
4.019997	0.052658	-0.553640
4.029997	0.050685	-0.552010
4.039998	0.050821	-0.549559
4.049998	0.052258	-0.549831
4.059998	0.050124	-0.545534
4.069998	0.050091	-0.546935
4.079998	0.049129	-0.543400
4.089999	0.050349	-0.540134
4.099999	0.050089	-0.539717
4.109999	0.049797	-0.539672
4.119999	0.050507	-0.538732
4.130000	0.049658	-0.536069
4.140000	0.049857	-0.534606
4.150000	0.051433	-0.533172
4.160000	0.049122	-0.531038
4.170001	0.048679	-0.529811
4.180001	0.049852	-0.528623
4.190001	0.049264	-0.526440
4.200001	0.050043	-0.524989
4.210001	0.049247	-0.523022
4.220002	0.048688	-0.522399
4.230002	0.048060	-0.520676
4.240002	0.047355	-0.519072
4.250002	0.048339	-0.519707
4.260003	0.047780	-0.517232
4.270003	0.048331	-0.514962
4.280003	0.048297	-0.512874
4.290003	0.048151	-0.513902
4.300004	0.048329	-0.509851
4.310004	0.046902	-0.509479
4.320004	0.048644	-0.509509
4.330004	0.048043	-0.506694
4.340004	0.046560	-0.506034
4.350005	0.048687	-0.502475
4.360005	0.047325	-0.500221
4.370005	0.047126	-0.502074
4.380005	0.046305	-0.499238
4.390006	0.046970	-0.498041
4.400006	0.045321	-0.496560
4.410006	0.045988	-0.494422
4.420006	0.046102	-0.493372
4.430007	0.046114	-0.492245
4.440007	0.045583	-0.492378
4.450007	0.047191	-0.490643
4.460007	0.046684	-0.488926
4.470007	0.045718	-0.487250
4.480008	0.046005	-0.487117
4.490008	0.045952	-0.484984
